Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
0.05%,HSY,HERSHEY CO/THE,--,"$35,293.72 ",196
0.05%,ATO,ATMOS ENERGY CORP,--,"$35,223.80 ",212
0.05%,TSCO,TRACTOR SUPPLY COMPANY,--,"$34,923.00 ",700
0.05%,CFG,CITIZENS FINANCIAL GROUP,--,"$34,764.30 ",570
0.05%,CSGP,COSTAR GROUP INC,--,"$34,652.92 ",562
0.05%,EFX,EQUIFAX INC,--,"$34,587.00 ",162
0.05%,EL,ESTEE LAUDER COMPANIES-CL A,--,"$34,318.02 ",326
0.04%,FSLR,FIRST SOLAR INC,--,"$34,237.62 ",142
0.04%,IRM,IRON MOUNTAIN INC,--,"$34,123.60 ",392
0.04%,BR,BROADRIDGE FINANCIAL SOLUTIO,--,"$34,017.85 ",155
0.04%,PPL,PPL CORP,--,"$33,751.20 ",980
0.04%,AVB,AVALONBAY COMMUNITIES INC,--,"$33,746.00 ",188
0.04%,STE,STERIS PLC,--,"$33,696.00 ",130
0.04%,CINF,CINCINNATI FINANCIAL CORP,--,"$33,586.24 ",206
0.04%,LDOS,LEIDOS HOLDINGS INC,--,"$33,423.70 ",170
0.04%,HUBB,HUBBELL INC,--,"$33,242.20 ",71
0.04%,RF,REGIONS FINANCIAL CORP,--,"$33,098.98 ","1,163"
0.04%,ON,ON SEMICONDUCTOR,--,"$33,049.26 ",534
0.04%,DLTR,DOLLAR TREE INC,--,"$33,021.56 ",251
0.04%,VLTO,VERALTO CORP,--,"$33,001.99 ",329
0.04%,AWK,AMERICAN WATER WORKS CO INC,--,"$32,962.93 ",259
0.04%,TDY,TELEDYNE TECHNOLOGIES INC,--,"$32,951.76 ",62
0.04%,OMC,OMNICOM GROUP,--,"$32,816.34 ",423
0.04%,CNP,CENTERPOINT ENERGY INC,--,"$32,653.75 ",865
0.04%,ES,EVERSOURCE ENERGY,--,"$32,613.14 ",497
0.04%,JBL,JABIL INC,--,"$31,871.90 ",142
0.04%,WAT,WATERS CORP,--,"$31,553.39 ",79
0.04%,WSM,WILLIAMS-SONOMA INC,--,"$31,078.08 ",162
0.04%,PPG,PPG INDUSTRIES INC,--,"$30,962.20 ",298
0.04%,DRI,DARDEN RESTAURANTS INC,--,"$30,764.58 ",154
0.04%,TROW,T ROWE PRICE GROUP INC,--,"$30,740.00 ",290
0.04%,BRO,BROWN & BROWN INC,--,"$30,735.90 ",390
0.04%,FE,FIRSTENERGY CORP,--,"$30,701.84 ",689
0.04%,STLD,STEEL DYNAMICS INC,--,"$30,545.06 ",182
0.04%,PHM,PULTEGROUP INC,--,"$30,378.11 ",259
0.04%,GIS,GENERAL MILLS INC,--,"$30,365.65 ",707
0.04%,LULU,LULULEMON ATHLETICA INC,--,"$30,275.96 ",143
0.04%,LYV,LIVE NATION ENTERTAINMENT IN,--,"$30,087.64 ",209
0.04%,EIX,EDISON INTERNATIONAL,--,"$29,873.06 ",511
0.04%,CPAY,CORPAY INC,--,"$29,817.66 ",93
0.04%,LEN,LENNAR CORP-A,--,"$29,723.98 ",286
0.04%,LUV,SOUTHWEST AIRLINES CO,--,"$29,208.40 ",685
0.04%,NVR,NVR INC,--,"$28,585.80 ",4
0.04%,EQR,EQUITY RESIDENTIAL,--,"$28,368.52 ",458
0.04%,CNC,CENTENE CORP,--,"$28,331.63 ",619
0.04%,CMS,CMS ENERGY CORP,--,"$28,032.68 ",403
0.04%,EXPD,EXPEDITORS INTL WASH INC,--,"$27,928.20 ",178
0.04%,LH,LABCORP HOLDINGS INC,--,"$27,910.30 ",110
0.04%,PODD,INSULET CORP,--,"$27,822.81 ",93
0.04%,PTC,PTC INC,--,"$27,756.63 ",159
0.04%,IP,INTERNATIONAL PAPER CO,--,"$27,692.00 ",700
0.04%,NTAP,NETAPP INC,--,"$27,642.15 ",265
0.04%,SW,SMURFIT WESTROCK PLC,--,"$27,430.88 ",692
0.04%,WRB,WR BERKLEY CORP,--,"$27,259.02 ",398
0.04%,VRSN,VERISIGN INC,--,"$27,059.58 ",111
